Frequency(Hz),Impedance
1.15E+06,2.546846091
1.15E+06,2.545547247
1.15E+06,2.544272525
1.16E+06,2.542898769
1.16E+06,2.541636195
1.16E+06,2.540322168
1.16E+06,2.539018196
1.17E+06,2.537708435
1.17E+06,2.536425179
1.17E+06,2.535097681
1.17E+06,2.533833977
1.18E+06,2.532502272
1.18E+06,2.531213849
1.18E+06,2.529953741
1.18E+06,2.52861871
1.19E+06,2.527333202
1.19E+06,2.526038035
1.19E+06,2.524733242
1.19E+06,2.523436395
1.20E+06,2.522162867
1.20E+06,2.520845947
1.20E+06,2.519585892
1.20E+06,2.518262009
1.21E+06,2.51699066
1.21E+06,2.51567694
1.21E+06,2.514424093
1.21E+06,2.513111883
1.22E+06,2.511820245
1.22E+06,2.510536941
1.22E+06,2.509261741
1.22E+06,2.507961374
1.23E+06,2.506680272
1.23E+06,2.505404054
1.23E+06,2.504088893
1.23E+06,2.502812346
1.24E+06,2.50153712
1.24E+06,2.500261617
1.24E+06,2.498985845
1.24E+06,2.49770463
1.25E+06,2.496406586
1.25E+06,2.495163546
1.25E+06,2.493847597
1.25E+06,2.492603412
1.26E+06,2.491316638
1.26E+06,2.490027478
1.26E+06,2.488740501
1.26E+06,2.487495846
1.27E+06,2.486205554
1.27E+06,2.484921012
1.27E+06,2.483675417
1.27E+06,2.482397459
1.28E+06,2.481096737
1.28E+06,2.479811851
1.28E+06,2.478534657
1.28E+06,2.477266621
1.29E+06,2.476002883
1.29E+06,2.474721508
1.29E+06,2.473452201
1.29E+06,2.472186521
1.30E+06,2.470910806
1.30E+06,2.469644114
1.30E+06,2.468379421
1.30E+06,2.46712066
1.31E+06,2.465828873
1.31E+06,2.464547676
1.31E+06,2.463286981
1.31E+06,2.462009097
1.32E+06,2.46074113
1.32E+06,2.459467439
1.32E+06,2.458195279
1.32E+06,2.4569472
1.33E+06,2.455634363
1.33E+06,2.454401058
1.33E+06,2.453085687
1.33E+06,2.451860847
1.34E+06,2.450574285
1.34E+06,2.4492978
1.34E+06,2.44807048
1.34E+06,2.446792775
1.35E+06,2.445500885
1.35E+06,2.444247575
1.35E+06,2.442970992
1.35E+06,2.441718337
1.36E+06,2.440439173
1.36E+06,2.439193006
1.36E+06,2.437879259
1.36E+06,2.436633331
1.37E+06,2.435369251
1.37E+06,2.434096528
1.37E+06,2.432864014
1.37E+06,2.431577128
1.38E+06,2.430311137
1.38E+06,2.429056921
1.38E+06,2.427798473
1.38E+06,2.426511552
1.39E+06,2.425248309
1.39E+06,2.423989481
1.39E+06,2.422716109
1.39E+06,2.421463209
1.40E+06,2.420196498
1.40E+06,2.418901773
1.40E+06,2.41763916
1.40E+06,2.416360394
1.41E+06,2.415107238
1.41E+06,2.413856094
1.41E+06,2.412572895
1.41E+06,2.411310226
1.42E+06,2.410044693
1.42E+06,2.408743486
1.42E+06,2.4075152
1.42E+06,2.406253505
1.43E+06,2.404958374
1.43E+06,2.403688422
1.43E+06,2.402397116
1.43E+06,2.401140563
1.44E+06,2.399875611
1.44E+06,2.398634536
1.44E+06,2.397332854
1.44E+06,2.39609046
1.45E+06,2.39481271
1.45E+06,2.393516715
1.45E+06,2.392245627
1.45E+06,2.391019707
1.46E+06,2.389719271
1.46E+06,2.388427149
1.46E+06,2.387165886
1.46E+06,2.385897187
1.47E+06,2.384638898
1.47E+06,2.383384215
1.47E+06,2.38206781
1.47E+06,2.38080122
1.48E+06,2.379540975
1.48E+06,2.378270631
1.48E+06,2.376974916
1.48E+06,2.375696117
1.49E+06,2.374419923
1.49E+06,2.373167509
1.49E+06,2.371894139
1.49E+06,2.370606764
1.50E+06,2.369330132
1.50E+06,2.368042755
1.50E+06,2.366766112
1.50E+06,2.365493591
1.51E+06,2.364218752
1.51E+06,2.362938611
1.51E+06,2.361665564
1.51E+06,2.360382685
1.52E+06,2.359085338
1.52E+06,2.357802565
1.52E+06,2.356541676
1.52E+06,2.355223542
1.53E+06,2.353927375
1.53E+06,2.352683386
1.53E+06,2.351395958
1.53E+06,2.350099254
1.54E+06,2.348836589
1.54E+06,2.347529441
1.54E+06,2.346263548
1.54E+06,2.344966932
