Frequency(Hz),Impedance
8.93E+05,2.687246123
8.95E+05,2.685815973
8.98E+05,2.684294223
9.00E+05,2.682844031
9.03E+05,2.681366301
9.05E+05,2.679931991
9.08E+05,2.678464574
9.10E+05,2.677033336
9.13E+05,2.675558711
9.15E+05,2.674072102
9.18E+05,2.672615324
9.20E+05,2.671167552
9.23E+05,2.669728395
9.25E+05,2.668278102
9.28E+05,2.666807319
9.30E+05,2.6653754
9.33E+05,2.663960765
9.35E+05,2.662527616
9.38E+05,2.661048705
9.40E+05,2.659652649
9.43E+05,2.658211698
9.45E+05,2.656773976
9.48E+05,2.655317498
9.50E+05,2.653897355
9.53E+05,2.652508882
9.55E+05,2.651099221
9.58E+05,2.649667294
9.60E+05,2.64824652
9.63E+05,2.64677598
9.65E+05,2.645391221
9.68E+05,2.643932234
9.70E+05,2.642552681
9.73E+05,2.641172839
9.75E+05,2.639773849
9.78E+05,2.638344655
9.80E+05,2.636985447
9.83E+05,2.635548449
9.85E+05,2.634148391
9.88E+05,2.632725392
9.90E+05,2.631327316
9.93E+05,2.629963406
9.95E+05,2.628561811
9.98E+05,2.627166596
1.00E+06,2.625784093
1.00E+06,2.624445089
1.01E+06,2.62298333
1.01E+06,2.62161991
1.01E+06,2.620239537
1.01E+06,2.618836171
1.02E+06,2.617500622
1.02E+06,2.616129569
1.02E+06,2.614694283
1.02E+06,2.613357971
1.03E+06,2.612005869
1.03E+06,2.61059414
1.03E+06,2.609247893
1.03E+06,2.607897322
1.04E+06,2.606505985
1.04E+06,2.605208597
1.04E+06,2.603788816
1.04E+06,2.60240076
1.05E+06,2.601078892
1.05E+06,2.599710376
1.05E+06,2.598353188
1.05E+06,2.597006907
1.06E+06,2.595659925
1.06E+06,2.594268669
1.06E+06,2.592965189
1.06E+06,2.591620957
1.07E+06,2.59026961
1.07E+06,2.588911937
1.07E+06,2.587557721
1.07E+06,2.586223674
1.08E+06,2.584861811
1.08E+06,2.583513712
1.08E+06,2.582204525
1.08E+06,2.580883615
1.09E+06,2.579539875
1.09E+06,2.578189889
1.09E+06,2.576846592
1.09E+06,2.575473415
1.10E+06,2.574188179
1.10E+06,2.572839613
1.10E+06,2.571486879
1.10E+06,2.570194485
1.11E+06,2.568866415
1.11E+06,2.567547397
1.11E+06,2.566184802
1.11E+06,2.564855872
1.12E+06,2.563555178
1.12E+06,2.562224348
1.12E+06,2.560901244
1.12E+06,2.559620063
1.13E+06,2.55828753
1.13E+06,2.556982602
1.13E+06,2.555634425
1.13E+06,2.554326
1.14E+06,2.552996855
1.14E+06,2.551695039
1.14E+06,2.550350805
1.14E+06,2.549056423
1.15E+06,2.54775695
1.15E+06,2.546405888
1.15E+06,2.545155526
1.15E+06,2.54380477
1.16E+06,2.54252596
1.16E+06,2.541233493
1.16E+06,2.539878674
1.16E+06,2.53857805
1.17E+06,2.537288263
1.17E+06,2.535971283
1.17E+06,2.534676845
1.17E+06,2.533375663
1.18E+06,2.532066999
1.18E+06,2.530760474
1.18E+06,2.529467665
1.18E+06,2.528170072
1.19E+06,2.526892693
1.19E+06,2.525566856
1.19E+06,2.524304689
1.19E+06,2.523013181
1.20E+06,2.521708636
1.20E+06,2.520431939
1.20E+06,2.519112651
1.20E+06,2.51782264
1.21E+06,2.516521613
1.21E+06,2.515249763
1.21E+06,2.513940012
1.21E+06,2.512640806
1.22E+06,2.511365824
1.22E+06,2.510052065
1.22E+06,2.508785493
1.22E+06,2.507474757
1.23E+06,2.506211645
1.23E+06,2.504917062
1.23E+06,2.503637284
1.23E+06,2.502347502
1.24E+06,2.501054541
1.24E+06,2.4997636
1.24E+06,2.498477561
1.24E+06,2.497214528
1.25E+06,2.495936431
1.25E+06,2.494631888
1.25E+06,2.493353279
1.25E+06,2.492074934
1.26E+06,2.490801703
1.26E+06,2.489510224
1.26E+06,2.488257148
1.26E+06,2.486990865
1.27E+06,2.485683348
1.27E+06,2.484419626
1.27E+06,2.483130546
1.27E+06,2.481863799
1.28E+06,2.480575659
1.28E+06,2.479303958
1.28E+06,2.47803105
1.28E+06,2.476745638
1.29E+06,2.475489499
1.29E+06,2.474202953
1.29E+06,2.472925665
1.29E+06,2.471636113
1.30E+06,2.470351499
1.30E+06,2.469109459
1.30E+06,2.467821668
1.30E+06,2.466562685
1.31E+06,2.465280212
1.31E+06,2.464020179
1.31E+06,2.462723596
1.31E+06,2.461482861
1.32E+06,2.460189349
1.32E+06,2.45889689
1.32E+06,2.457650702
1.32E+06,2.456353634
1.33E+06,2.455096179
1.33E+06,2.453849864
1.33E+06,2.452567937
1.33E+06,2.451281996
1.34E+06,2.450005603
1.34E+06,2.448745098
1.34E+06,2.447477757
1.34E+06,2.446206623
1.35E+06,2.444925557
1.35E+06,2.44366561
1.35E+06,2.442395482
1.35E+06,2.44109301
1.36E+06,2.439846681
1.36E+06,2.438601556
1.36E+06,2.437289015
1.36E+06,2.436058539
1.37E+06,2.434782166
1.37E+06,2.433515249
