,principal_component1,principal_component2
1653675509,2.174150636177191,-0.029998423615388833
1653675509,2.1740861039097528,-0.02997659447380676
1653675510,2.173173948613887,-0.03196427035116481
1653675510,2.173173948613887,-0.03196427035116481
1653675510,2.1740322491216992,-0.029956480321850477
1653675510,2.172992291645468,-0.03188546987857013
1653675511,2.172992291645468,-0.03188546987857013
1653675511,2.1727983729816627,-0.029463871733503132
1653675511,2.173860429668649,-0.029894580634410448
1653675511,2.173860429668649,-0.029894580634410448
1653675512,2.173860429668649,-0.029894580634410448
1653675512,2.1717682530207996,-0.03140976207537732
1653675512,2.17158236773461,-0.03130939540290901
1653675512,2.17158236773461,-0.03130939540290901
1653675513,2.17175799793191,-0.031408204843806006
1653675513,2.1717682530207996,-0.03140976207537732
1653675513,2.1717682530207996,-0.03140976207537732
1653675513,2.1717682530207996,-0.03140976207537732
1653675513,2.172003764777272,-0.03150867669992799
1653675514,2.1728082104970308,-0.0294807725186574
1653675514,2.1728082104970308,-0.0294807725186574
1653675514,2.1726363910439805,-0.02941887283121727
1653675514,2.172754355708978,-0.02946065836670113
1653675515,2.171896055201164,-0.031468448396015286
1653675515,2.171896055201164,-0.031468448396015286
1653675515,2.172003764777272,-0.03150867669992799
1653675515,2.1725825362559275,-0.029398758679260988
1653675516,2.1725825362559275,-0.029398758679260988
1653675516,2.1725825362559275,-0.029398758679260988
1653675516,2.172973200737119,-0.029508148227153693
1653675516,2.1720970293363226,-0.029177805998714574
1653675517,2.1720970293363226,-0.029177805998714574
1653675517,2.1720970293363226,-0.029177805998714574
1653675517,2.1717780905361677,-0.03142666286053159
1653675517,2.1725825362559275,-0.029398758679260988
1653675518,2.1725825362559275,-0.029398758679260988
1653675518,2.1725825362559275,-0.029398758679260988
1653675518,2.172754355708978,-0.02946065836670113
1653675518,2.1725286814678735,-0.02937864452730472
1653675519,2.1725286814678735,-0.02937864452730472
1653675519,2.1731446353218487,-0.0295001714137643
1653675519,-0.3683905873209118,1.1977451079691723
1653675519,-0.3683905873209118,1.1977451079691723
1653675520,-0.812575490646166,0.029098826938034582
1653675520,-0.8471666565958116,-0.05810105285660184
1653675520,-0.8463622108760523,-0.05607314867533122
1653675520,-0.8463622108760523,-0.05607314867533122
1653675520,-0.8471666565958116,-0.05810105285660184
1653675521,-0.8463622108760523,-0.05607314867533122
1653675521,-0.8463622108760523,-0.05607314867533122
1653675521,-0.8471666565958116,-0.05810105285660184
1653675521,-0.8471666565958116,-0.05810105285660184
1653675522,-0.8471666565958116,-0.05810105285660184
1653675522,-0.8471666565958116,-0.05810105285660184
1653675522,-0.8471666565958116,-0.05810105285660184
1653675522,-0.8463622108760523,-0.05607314867533122
1653675523,-0.8463622108760523,-0.05607314867533122
1653675523,-0.8471666565958116,-0.05810105285660184
1653675523,-0.8471666565958116,-0.05810105285660184
1653675523,-0.8471666565958116,-0.05810105285660184
1653675524,-0.8471666565958116,-0.05810105285660184
1653675524,-0.8471666565958116,-0.05810105285660184
1653675524,-0.8471666565958116,-0.05810105285660184
1653675524,-0.8471666565958116,-0.05810105285660184
1653675524,-0.8463622108760523,-0.05607314867533122
